O.K.	they gave us the O.K. to go ahead
zoology	William Bert Emison (1939–1999) was born in Boise, Idaho, studied zoology at the University of Montana, worked in the Antarctic studying the diet of the Adelie penguin, and received an MSc degree through Johns Hopkins University in 1967.
zoology	After graduating from Hartford Public High School, she attended Wellesley College, where she received a bachelor's degree in zoology in 1924.
zoology	He graduated in zoology from the University of Oslo in 1946.
zoology	However, he had minors in both chemistry and zoology to prepare for medical school.
zoology	"Proctor studied botany, zoology and chemistry for his undergraduate degree at Cambridge University, then did research on rock-roses (""Helianthemum"")."
zoology	Geus received his academic education in zoology with a specialisation in parasitology.
zoology	Hanson gained her PhD in zoology from Bedford College, University of London before spending the majority of her career at a biophysics research unit at King's College London, where she was a founder member, and later its second Head.
zoology	She was awarded a scholarship to attend Bedford College London after taking its entrance examination in botany, zoology and physiology.
zoology	Hanson began at Bedford College in 1938, taking its Intermediate Examination in zoology, botany, chemistry and physiology the following year, graduating with first-class honours in zoology with a minor in botany in 1941.
zoology	She completed undergraduate studies at Iowa State University in 1913, where she majored in zoology and was a member of the Beta Zeta chapter of the Kappa Kappa Gamma sorority.
zoology	Tingle received his pre-med training in zoology from the University of Alberta, Edmonton, in 1963 and his MD from the same university in 1967, when he received the Gold Medal in paediatrics.
zoology	After the war, he secured a menial laboratory job, and studied as an evening student to gain a degree in zoology from the University of London.
zoology	A Fellow of the Royal Society, he was director of the Cambridge University Museum of Zoology and past president of the zoology section of the British Association for the Advancement of Science.
zoology	She initially studied zoology but switched to paleontology in which she was much happier.
zoology	He received a BSc in 1902, an MSc in 1903 and a DSc in 1909 from that university, and was appointed assistant lecturer in zoology in 1902 and lecturer in economic zoology in 1909.
zoology	He started dual teaching in zoology and mineralogy on 4 February 1852.
zoology	In 1867, he was appointed by the Government of Vienna as professor of applied zoology at the Imperial-Royal Polytechnic Institute (now Vienna University of Technology).
zoology	He pursued his studies at the universities of Berlin, Göttingen, and Heidelberg from the fall of 1880 and received his Ph.D. in zoology at Göttingen in 1882.
zoology	He became interested in biology after attending a summer NSF school in Syracuse while in high school and joined the University of Pittsburgh in 1961, intending to study mecicine, but after receiving a BS in zoology in 1965 he shifted to philosophy and the history of science at Indiana University.
zoology	He received his PhD from zoology and ecology in 1961, since 1981 he is a professor.
zoology	"Dinets was interested in zoology from an early age,&lt;ref name=""humanimalia/""&gt;Dinets V. Spontaneous development of hunting-like behavior in juvenile humans: a case study."
zoology	He began his studies in zoology there in October 1910, completing his Bachelor of Science in Agriculture (BSA) in three years.
zoology	He became the first zoology graduate to earn a Master of Science (M.Sc.
zoology	He worked was an assistant in zoology at the Bergen Museum from 1924–26.
zoology	At the time of his death, he was a professor emeritus of the Richard Gilder Graduate School and Peter J. Solomon Family Curator Emeritus of the invertebrate zoology department of the American Museum of Natural History.
zoology	"Devised in 1961 by W. J. Ballantine, then at the zoology department of Queen Mary University of London, London, U.K., the scale is based on the observation that where shoreline species are concerned ""Different species growing on rocky shores require different degrees of protection from certain aspects of the physical environment, of which wave action is often the most important."""
zoology	in 1966, with a double major in chemistry and zoology and a minor in mathematics.
zoology	By the middle of the 20th century, emerging disciplines such as biology and zoology began taking on the traditional zoogeographic cataloging of species, their distributions, and ecologies.
zoology	Owned by the University of Oxford, the woods are used for research in zoology and climate change.
zoology	After teaching at San Diego High School for the academic year 1897–1898, between 1898 and 1906 he was an instructor of zoology at the University of Michigan.
zoology	He became the chief curator of zoology at the Field Museum in 1941, where he remained until his retirement in 1955.
zoology	He accompanied his father to Soviet Russia in 1920, acting as his Russian translator and exchanging ideas with Russian zoology students.
zoology	He was particularly interested in the study of marine zoology and marine botany, especially molluscs and algae.
zoology	When she returned to Mount Holyoke after obtaining her doctoral degrees, she helped organize the department of zoology and develop its teaching facilities.
zoology	She was named professor of zoology at her alma mater in 1904, fifteen years after her first Ph.D in 1889.
zoology	"It also houses the wreck of the ""San Diego"", ancient artifacts, and zoology divisions."
zoology	She joined Somerville College, Oxford, and earned her BSc in zoology in 1935.
zoology	at the University of Queensland in 1996, majoring in zoology and geology.
zoology	degree in zoology at San Diego State University in 1973, a Masters of Biological Science at the same institute in 1980, and a PhD in paleontology from the University of California, Berkeley, in 1984.
zoology	"In zoology the term ""polygyny"" is used for a pattern of mating in which a male animal has more than one female mate in a breeding season."
zoology	"The ""Literary Gazette"" said that Gosse now stood ""alone and unrivalled in the extremely difficult art of drawing objects of zoology so as to satisfy the requirements of science"" as well as providing ""vivid aesthetic impressions""."
zoology	He studied zoology at Balliol College, Oxford, graduating in 1962; while there, he was tutored by Nobel Prize-winning ethologist Nikolaas Tinbergen.
zoology	From 1967 to 1969, Dawkins was an assistant professor of zoology at the University of California, Berkeley.
zoology	He had planned to study law, but joined the medical faculty at the university, where his studies included philosophy under Franz Brentano, physiology under Ernst Brücke, and zoology under Darwinist professor Carl Claus.
zoology	He turned down many other appointments, notably the Linacre chair in zoology at Oxford and the Mastership of University College, Oxford.
zoology	Though he had many admirers and disciples, his retirement and later death left British zoology somewhat bereft of leadership.
zoology	"Huxley's courses for students were so much narrower than the man himself that many were bewildered by the contrast: ""The teaching of zoology by use of selected animal types has come in for much criticism""; Looking back in 1914 to his time as a student, Sir Arthur Shipley said ""Darwin's later works all dealt with living organisms, yet our obsession was with the dead, with bodies preserved, and cut into the most refined slices""."
zoology	But zoology as taught at all levels became far too much the product of one man.
zoology	The word appeared in several German-language descriptions of Indonesian zoology in the 17th century.
zoology	"His lifelong interest in zoology began at age seven when he saw a dead seal at a local market; after obtaining the seal's head, Roosevelt and two cousins formed what they called the ""Roosevelt Museum of Natural History""."
zoology	The zoology collection at the Lisbon Museum is called the Bocage Museum in his honor.
zoology	The Natural History Collection comprises over 2 million items in the fields of zoology and geology, a million of the specimens being insects.
zoology	In the 1960s and 1970s, as staffing levels again increased modestly, the entomology and zoology collections received more attention, both for the exhibitions and the stored collections.
zoology	Staffing has been severely restricted for many years, and at the Natural History Museum these limitations led the period during which there was only one professional zoology staff member, and in the 2000s to there being no educational operation for at least two years, and to the closure of the museum shop for some years; the small shop resumed operations, selling books and other science-related items, at the end of March 2018.
zoology	In 1851, he became a professor of zoology in Prague and, from 1860, he was director of the Vienna Natural History Museum.
zoology	Wootten completed a degree in zoology at the University of Otago in Dunedin before moving to Christchurch where he studied Graphic Art at Christchurch Polytechnic.
zoology	His designs combined his knowledge of zoology with his artistic skill.
zoology	He attended graduate school at Clemson University, where he received his MA in 1980 and was granted a PhD in zoology in 1983.
zoology	He was hired by Josiah H. Washburn as a zoology professor and marine biologist at the Rhode Island Agricultural Experiment Station from 1896 to 1900, where he established Rhode Island's first marine laboratory on Point Judith Pond in the municipality of South Kingstown.
zoology	Abby Howe Turner (1875 – 1957) was a noted professor of physiology and zoology who founded the department of physiology at Mount Holyoke College.
zoology	He taught zoology and mineralogy in Copenhagen from 1759 to 1771.
zoology	From 1889 to 1911 he taught zoology and botany at the University of Barcelona.
zoology	Scientific instruction was said to be particularly paltry, with the zoology and botany instructor said to have
zoology	"She abandoned studying zoology back in London, and her work took on a more ""inspired formal elegance"", according to Boxer."
zoology	While he was teaching, he continued to study insect behavior, and also pursued a PhD in zoology at the University of Chicago.
zoology	Other disciplines, such as physics, medicine, zoology and astronomy, also influenced her work.
zoology	He developed an early interest in zoology and began collecting reptiles.
zoology	From humble beginnings as a 16-year-old technician in the zoology department at Glasgow University, Gordon rose to conduct leading research into aquatic life in Botswana and Nigeria.
zoology	Tamara Mkheidze grew up in Kutaisi (Georgia) and later studied zoology at the Tbilisi State University.
zoology	He went to study in Japan in 1902, and later studied in Britain, majoring in zoology and geology.
zoology	He held a bachelor's degree in biology from the University of Western Ontario, and studied zoology and marine biology in Kenya and Jamaica.
zoology	He received a bachelor's degree in agricultural zoology and molecular biology from the University of Glasgow, a postgraduate degree in agriculture from the University of Edinburgh, and an MBA from the International Management Centre in Buckingham, England.
zoology	The Scripps Institution of Oceanography, one of the nation's oldest oceanographic institutes, was founded in 1903 by William Emerson Ritter, chair of the zoology department at the University of California, Berkeley, with financial support from Scripps and her brother E. W. Scripps.
biology	Rotational diffusion has multiple applications in chemistry and physics, and is heavily involved in many biology based fields.
biology	In 1922, Frank Brooks proposed the organization of a biology fraternity to a group of biology majors at Oklahoma City University.
biology	She graduated from Randolph-Macon Woman's College in Lynchburg, Virginia, where she majored in biology with an emphasis on pre-medicine; according to her contestant biography, her career ambition is to become a doctor specializing in obstetrics and gynaecology.
biology	After retirement in 1996 she and her husband, Dr. Richard Latterell, an environmentalist and biology professor emeritus at Shepherd University, were active in animal welfare and environmental causes including water pollution and lead arsenate pollution in housing developments built on former apple orchards in Jefferson County, West Virginia, where they lived in an 18th-century farmhouse nearby Moler's Crossroads.
biology	Recent examples of application of network theory in biology include applications to understanding the cell cycle as well as a quantitative framework for developmental processes.
biology	It was founded in 1913 by C. E. Johnson who was a biology instructor at the college.
biology	Mootha and his research group have made major contributions to mitochondrial biology and genomics.
biology	"His research interests are in the biology of the model organism ""Caenorhabditis elegans"" and laser microscopy."
biology	After graduating from Temple University in Philadelphia with a B.S.Ed., he taught high school biology and chemistry at Germantown High School in Philadelphia, and physics at Shelton College in Ringwood, New Jersey.
biology	"It was established in 2002 with the aim to provide an alternative to biology journals with high-impact factor such as ""Nature"", ""Science"", and ""Cell""."
biology	The film is inspired by Barker's experiences as a 12-year-old in grade seven, dissecting and experimenting on a frog in biology class, and sensing the approaching power of adulthood after having left the confines of elementary school.
biology	Nevertheless, object databases have been used successfully in many applications: usually specialized applications such as engineering databases or molecular biology databases rather than mainstream commercial data processing.
biology	"learning to cook in a family, learning to play video games with a guild, learning to assemble circuit boards in a workplace, learning to splice genes in a biology lab), pick up these practices through joint action with more advanced peers, and advance their abilities to engage and work with others in carrying out such practices"" (p. 70)."
biology	Chemistry, physics, biology enable him to apprehend one set; he needs a different apperceptive and appreciative apparatus to deal with other more subtle elements.
biology	Students can enroll in the course after successfully completing higher secondary education in science stream with physics, chemistry and either biology or maths as subjects.
biology	She has a molecular biology degree from the University of Washington and a master's degree in epidemiology from the University of Cambridge.
biology	Efforts to protect this species focus on advocating for maintaining a healthy population of moles to better understand their biology and behavior, and for conducting field studies to monitor the species distribution and abundance with the help of Aborigines.
biology	It is the scientific exploration of the relationships between human biology and culture.
biology	The shift towards understanding the role of culture to human biology led to the development of Dual inheritance theory in the 1960s.
biology	The winter period of lakes is probably the least studied, but the chemistry and biology are still very active under the ice.
biology	Berenbaum received her Ph.D. in ecology and evolutionary biology in 1980.
biology	The book connected the literature in biology to the literature in national security, and described the effect of biological mechanisms on stress, status competition, and fear and memory, as they affect national security behavior.
biology	These terms are associated with biological concepts addressed by the National Science Education Standards and common in high school and college biology courses.
biology	Much of the terminology of genetics and biology is unique in its pronunciation.
biology	The eldest son of William Harold Pearsall, (1891–1964), FRS, and professor of freshwater biology at Sheffield University and Manchester University, and his wife Marjorie Williamson, a lecturer in botany, was born at Leeds, while his parents were both lecturers at the University of Leeds.
biology	The field of aging biology is divided between those who think that it will be very difficult to develop technology to postpone human aging and those who expect breakthroughs in this field in the near future.
biology	Phylogenetic nomenclature is a method of nomenclature for taxa in biology that uses phylogenetic definitions for taxon names as explained below.
biology	Owing to its rapid growth rate, ability to grow on inexpensive carbon sources, and capacity to secrete proteins into the growth media, efforts are underway to leverage this species as a host for molecular biology and biotechnology applications.
biology	The college consists of physics, chemistry, information technology and biology laboratories.
biology	Karina is the biology club representative and Asuka's best friend and self-proclaimed rival since childhood.
biology	A lawyer with no knowledge of biology could supply the information.
biology	"The project was established on the premise that whereas the ""Vitis"" family provides the world's most economically important fruit, its biology is still poorly understood."
biology	"The argument is that the relatively unknown biology of ""Vitis"" is capable of delivering desired viticultural improvements without the associated ongoing costs, and establishing its genome sequence will examine the role individual genes play in viticulture, improving grape characteristics and quality in a predictable way."
biology	Several key ideas in biology were written about in the book, such as genetics, other life in the universe, and the origin of life.
biology	He was a teacher of biology and chemistry at Marling School in Stroud, Gloucestershire and was then head of the lower school until 1975.
biology	Ofria is one of the designers of Avida, an artificial life software platform to study the evolutionary biology of self-replicating and evolving computer programs (digital organisms, see also Digital organism simulators).
biology	Collins was elected as a member of the National Academy of Engineering in 2011, the National Academy of Medicine in 2012, and the National Academy of Sciences in 2014, for his contributions to synthetic biology and engineered gene networks.
biology	In the context of synthetic biology and regenerative medicine, Collins collaborated with Derrick Rossi and George Q. Daley on a seminal study using synthetic mRNA technology for biomedical applications.
biology	This work was published in Cell Stem Cell in 2010, and Rossi used this synthetic biology technology platform to found Moderna.
biology	Collins has also used synthetic biology approaches (computational and experimental) to identify and address significant biological physics questions regarding the regulation of gene expression and cell dynamics.
biology	Collins and collaborators discovered, using systems biology approaches, that all classes of bactericidal antibiotics induce a common oxidative damage cellular death pathway.
biology	In 1961, Sherfey's interest in female biology was intensified when she came upon the inductor theory, which demonstrated that the human embryo is female until hormonally “induced” to become male.
biology	Ideas about biology and the human body were very different in 1651 than they are in the twenty-first century.
biology	"Lastly, despite any misconceptions of biology and anatomy it contained, the advice ""Aristotle’s Masterpiece"" provided “was both more accurate and less harmful” than that given in many of its Victorian-era counterparts."
biology	However, small science which has data that is often local and is not easily shared is funded in many areas such as chemistry and biology by these funding bodies.
biology	"He is best known for playing the handsome, but awkward biology teacher Philip Boynton in the radio and television sitcom ""Our Miss Brooks"" opposite Eve Arden."
biology	The journal covers the pathogenesis, diagnosis, therapy, prophylaxis, and epidemiology of fungal infectious diseases in humans and animals as well as on the biology of pathogenic fungi.
biology	On May 2, 2007, it was reported that she had actually earned a bachelor's degree in biology from The College of Saint Rose in 1973, though she did not list that degree when applying for her first job at MIT or when being considered for subsequent promotions.
biology	"When Jones was appointed to the position of Dean of Admissions in 1998, she was credited with having earned an ""SB and an SM in biology from Rennselaer Polytechnic Institute"" in an article published in ""The Tech"" as well as an article published by ""MIT Tech Talk""."
biology	"A biography of her on the website for the 2007 September Conference of the National Association of College Admission Counselors referred to her as ""Dr. Marilee Jones, Ph.D."" and credited her with degrees from RPI and Albany Medical in biology and chemistry but offered no further details."
biology	In 1982, he received his undergraduate degree in biology magna cum laude at Harvard University.
biology	BioBrick parts form the base of the hierarchical system on which synthetic biology is based.
biology	The SBx.0 conferences are international conferences on synthetic biology hosted across the world.
biology	BIOFAB aims to catalogue high-quality BioBrick parts to accommodate the needs of professional synthetic biology community.
biology	The biology and natural history of whales in Chinese waters prior to exploitation is unclear because academic studies or approaches to biology of cetaceans was minimal.
biology	Lummis attended Cheyenne East High School, and graduated from the University of Wyoming with a Bachelor of Science degree in animal science in 1976 and a Bachelor of Science in biology in 1978.
biology	A large, state-of-the-art human anatomy lab for use in undergraduate and graduate health sciences and biology studies was completed in the Downtown Center in 2015.
biology	"He concluded the Louisiana statute served a rational and constitutionally acceptable purpose: ""If it be conceded, as I assume it is, that the State has power to provide that people who choose to live together should go through the formalities of marriage and, in default, that people who bear children should acknowledge them, it is logical to enforce these requirements by declaring that the general class of rights that are dependent upon family relationships shall be accorded only when the formalities as well as the biology of those relationships are present."""
biology	This range is assumed to overlap with National parks, but research has not been undertaken into the ecology and biology of the species.
biology	Her dual interests in virology and reproductive biology led to research in semen transmission of human immunodeficiency virus, and the creation of the first laboratory for human in vitro fertilization in Oregon in the early 1980s.
biology	Expertise in human egg biology led Kiessling to develop the country's first human egg donor program for stem cell research in 2000.
biology	"SPAR employs extremely stringent safety standards; samples will only be submitted for ""sperm washing"" and cryopreservation that have first been screened for HIV virus particles and infected cells by specialized molecular biology tests."
biology	The species has been collected only occasionally, and little is known about its biology and ecology.
biology	Plant and Soil is a monthly peer-reviewed scientific journal covering research on the relationships between plants and soil, such as relationships and interactions of plants with minerals, water and microbes, the anatomy and morphology of roots, soil biology and ecology, etc.
biology	Systems biology will be emphasized and forward and reverse genetic tools will often be used.
biology	Oligonucleotides find a variety of applications in molecular biology and medicine.
biology	Andersen received an undergraduate degree in biology from Tufts University, and then completed a PhD in genetics.
biology	Marquette students were 69% proficient in biology compared to a 55% state average and 88% proficient in English compared to a 73% state average.
biology	The reason for using 50% endpoints is that many dose-response relationships in biology follow a logistic function that flattens out as it approaches the minimal and maximal responses, so it is easier to measure the concentration of the test substance that produces a 50% response.
biology	The polymerase chain reaction (PCR) is a commonly used molecular biology tool for amplifying DNA, and various techniques for PCR optimization which have been developed by molecular biologists to improve PCR performance and minimize failure.
biology	Because products from previous PCR amplifications are a common source of contamination, many molecular biology labs have implemented procedures that involve dividing the lab into separate areas.
biology	The departmental sequence in science consists of biology in ninth grade, physics in tenth grade, chemistry in eleventh grade, and Advanced Placement and elective courses in the twelfth grade.
biology	"Little is known about the biology or behavior of ""N. parisii"", and roosts have never been found."
biology	As Senior Vice-President at Genentech, he led the development of powerful new molecular biology therapeutics.
biology	The detailed understanding of its structural biology is of great medical relevance, for example, for a better understanding of the diseases caused by genetic deficiencies of these enzymes and for the development of new antibiotics.
biology	The two scientists helped introduce new scientific technology and methods they had been exposed to in Geneva and Cambridge, which helped expand and better the molecular biology research in Australia.
biology	He was an emeritus professor of biological science at the Institute of Molecular Biophysics, Florida State University, and an emeritus professor of biology at the Rosenstiel Basic Medical Sciences Research Center, Brandeis University.
biology	Although trained as a lawyer, he gave physics, chemistry and biology a prominent place at a time when few schools included much science in the curriculum.
biology	"Evolutionary mismatch (also ""mismatch theory"" or ""evolutionary trap"") is the evolutionary biology concept that a previously advantageous trait may become maladaptive due to change in the environment, especially when change is rapid."
biology	"The Antarctic Sun quoted a professor of developmental and cancer biology at the University of Auckland as saying ""the bay has one of the highest toxic concentrations of any body of water on Earth."""
biology	He further noted that she had no practical experience or formal qualifications in virology, epidemiology, electron microscopy, biology or immunology.
biology	James, originally from Philadelphia, Pennsylvania, was immersed in the stream of biology at an early age being involved in the Academy of Natural Sciences Expeditions for Everyone.
biology	Schopper's vision of science without borders resulted in him becoming a founding father of SESAME, the laboratory for Synchrotron-Light for Experimental Science and Applications in the Middle East, which provides an extremely bright light source to investigate a broad range of domains from condensed matter to biology and archeology.
biology	Workers can withstand such temperatures by exhibiting opportunistic thermal responses to adjust their behaviour in order to handle high trail temperatures and alter their thermal biology for low temperatures.
biology	"This name is in honor of Sydney Brenner, recognizing his pioneering role in starting active research in the field of ""C. elegans"" biology and development."
biology	DyLight dyes are typically used in biotechnology and research applications as biomolecule, cell and tissue labels for fluorescence microscopy, cell biology or molecular biology.
biology	Mother Teresa's students are also encouraged to take part in one or more of the school's many trips, including the Stratford Festival Trip and its marine biology trip to St. Andrew's, NB.
biology	He spent a few summers at Marine Laboratories, and in 1891 was given a job teaching biology at the University of California in Berkeley.
biology	Chosen for his knowledge of marine biology in general and marine invertebrates in particular, he accompanied the group of scientists on their exploration of Alaska.
biology	Consequently, his plan to teach marine biology was to actually take his students to the ocean so they could study living creatures in their natural environment.
biology	"He wanted to set up a permanent laboratory to study the biology along the Pacific coast, as well as be a ""classroom"" for his students."
biology	Scripps, however, continued to push Ritter to make biology more practical.
biology	They came to believe that since people were biological animals, then biology ought to have some insights into human behavior and human motivation.
biology	This Biostation operates in coordination with Irkutsk State University, and in the summer hosts study programs for biology and meteorology students from the university.
biology	A lifelong naturalist, Avishag Kadman met Amotz Zahavi at the Hebrew University of Jerusalem during their studies in the field of biology and married him in 1954.
biology	However, in many cases, polytechnic courses from several institutions across the country, started to require admission entrance exams in fields not directly related with the course (for instance, an electrical engineering or computer engineering course allows a biology entrance exam instead of mathematics and/or physics, unlike what is seen in most universities for the same engineering fields).
biology	Martin grew up in Monmouth, Illinois where his father, George Martin, was a Monmouth College biology professor, and he spent three years attending Monmouth College, leaving his junior year to study at the Chicago Academy of Fine Arts and joining NEA in 1921 as a cartoonist.
biology	He has a first-class honours degree in psychology and biology from the University of Westminster and a doctorate from the Department of Experimental Psychology at the University of Sussex, where he lectured in clinical psychology and psychopathology before setting up his own research organisation.
biology	"Although not accompanied by figures or plates it contains a wealth of information on the biology and ecology of the species and it includes careful and detailed descriptions of new taxa, among them ""Thymelicus lineola"" (Hesperiidae), ""Polyommatus eros"", ""Iolana iolas"" (Lycaenidae), ""Psilogaster loti"" (Lasiocampidae), ""Hyles zygophylli"" (Sphingidae), ""Phalera bucephaloides"" (Notodontidae), ""Hoplodrina superstes"", ""Polia serratilinea"" (Noctuidae), ""Pyropteron doryliformis"", ""Synanthedon cephiformis"" (Sesiidae), ""Pachythelia villosella"" (Psychidae), ""Zygaena hilaris"", ""Zygaena punctum"", ""Zygaena angelicae"" (Zygaenidae) and others."
biology	The review states that Price's work has been well discussed and has not been covered up, and notes that although Price's theories were later supplanted by subsequent research that found endodontic treatment is safe and effective, his focus on the biology of teeth and infection is still relevant in modern dentistry, as some clinicians have placed more emphasis on technology and poorly tested procedures for the treatment of infected teeth.
science	"Shortly thereafter, she won ModelQuest98's Grand Final for the 12-to-15 division, and was cast as ""Jack"" in the science fiction film ""Pitch Black""."
science	The museum was building archaeological, ethnographic, historical, numismatic, art historical, creative art and natural science collections.
science	"""The Man Who Came Early"" is a science fiction short story by Danish-American author Poul Anderson."
science	And if wanting to create a dance really essential, I expressed the general spirit of my poems by a natural geometric stylization is that geometry is the science of lines, that is to say, the essence of all visual arts, like arithmetic is the science of numbers, that is to say the very essence of rhythmic arts: music and poetry.
science	Morasse holds a bachelor's degree in political science from Université Laval.
science	"is a science fiction ""josei"" (targeted towards women) manga by Mitsukazu Mihara."
science	He is the father of surgeon James Hinton and grandfather of mathematician and science fiction author Charles Howard Hinton.
science	The Physics of Superheroes is a popular science book by physics professor and long-time comic-book fan James Kakalios.
science	His work on regulation addresses complexity theory and the law as well as the role of peer review and science in environmental regulation.
science	The chairman of the conference, Ellen Swallow Richards, is considered to be a founder of the modern domestic science movement.
science	La Recherche is a monthly French language popular science magazine covering recent scientific news.
science	"In 2007, he received the ""Friend of Darwin Award"" from the National Center for Science Education, recognizing his tireless advocacy for the teaching of science in schools."
science	He earned a bachelor's degree in political science from the University of Michigan and a Juris Doctor degree from the University of Michigan Law School.
science	In 2005, a science teacher at the school was one of three finalists for the Shell Science Teaching Award of the National Science Teachers Association.
science	Her main field of interest is electronic materials science – studying the effects of defects on the properties of semiconductor materials and devices.
science	"Forever Autumn is a BBC Books original novel written by Mark Morris and based on the long-running science fiction television series ""Doctor Who""."
science	His use of science and modern techniques led players to refer to his as having 'magic hands' and he would often be consulted by sportsmen, athletes and dancers from across the country.
science	"""For the Birds"" is a science fiction short story by American writer Isaac Asimov."
science	The editor of a proposed fashion magazine wanted a science fiction story about a clothing designer.
science	"On April 1, 1992 Dan Goldin became NASA Administrator, and during his tenure near-term human exploration beyond Earth orbit was abandoned, and the ""faster, better, cheaper"" strategy was applied to space science robotic exploration."
science	He then took up the study of economics, political science and philosophy, and obtained a BSc in 1926 and a PhD in 1928.
science	"The play is set in a vaguely described science fiction future dominated by ""The Game,"" a conflation of rock music and violence played by ""Markers"" under the direction of ""The Keepers."""
science	, also titled Manie-Manie on its title card, is a 1987 anime science fiction anthology film produced by Project Team Argos and Madhouse.
science	Wilfrid Derome (19 April 1877 – 24 November 1931) was a Quebec forensic scientist known as the founder of the first forensic science laboratory in North America, founded in Montreal, Quebec, Canada.
science	He founded, in June 1914, the first governmental forensic science laboratory in North America in Montreal, Quebec, Canada.
science	Tropical cyclone forecasting is the science of forecasting where a tropical cyclone's center, and its effects, are expected to be at some point in the future.
science	Livny has been a professor of computer science at Wisconsin since 1983, where he leads the HTCondor high-throughput computing system project.
science	"He was awarded his Doctorate degree for his thesis, ""Collective Actions and Labour Policies in Russia in the 90s"", in 1995, and has taught political science at Moscow State University, the Moscow School for Social and Economic Sciences, and the Institute of Sociology of the Russian Academy of Sciences."
science	"is a Seiun Award-winning author noted for his science fiction light novel series ""Iriya no Sora, UFO no Natsu""."
science	"His first novel, ""E. G. Combat"", published in 1998, was followed by a number of science fiction and light novel works."
science	"The official citation states that the decoration is in recognition of ""contributions to the development of our nation's research and education in science and technology""."
science	"In January 1933, Jerry Siegel wrote a short prose story titled ""The Reign of the Superman"", which was illustrated by his friend Joe Shuster and self-published in a science fiction magazine."
science	While still in high school, Smith won a science fair at age 16 and met renowned rocket scientist Wernher Von Braun in Huntsville, Alabama.
science	The applied science of mesoscopic physics deals with the potential of building nanodevices.
science	"is a comedic science fiction original English-language manga series written by Rikki Simons and drawn by Tavisha Wolfgarth-Simons, together known as Studio Tavicat; unlike conventional manga, ""Reality Check!"
science	"Milcząca Gwiazda (), literal English translation The Silent Star, is a 1960 East German/Polish color science fiction film based on the 1951 science fiction novel ""The Astronauts"" by Polish science fiction writer Stanisław Lem."
science	"The story is based on the 1951 science fiction novel ""The Astronauts"" by Stanisław Lem."
science	"""The Astronauts"" was likely chosen due to the recent advancements in rocket technology and the popularity of space travel in science fiction."
science	It was the first science fiction film released by Poland and East Germany.
science	"In a retrospective on Soviet science fiction film, British director Alex Cox compared ""The Silent Star"" to the Japanese film ""The Mysterians"", but called the former ""more complex and morally ambiguous""."
science	He was known to carry a large swag of books and stuffed his saddle-bags with philosophy, theology, engineering and science books.
science	Creation Entertainment is an American for-profit entertainment company located in Glendale, California, which produces fan conventions for fans of various films and television series, mainly in the science fiction, horror, and fantasy genres.
science	In 1984, Creation branched out from the comics world into the horror and science fiction genres.
science	"From 1984–1986, Creation produced regular conventions dedicated to ""Doctor Who"" and other science fiction shows and movies."
science	These were the last Creation comic conventions held in New York City; after 1988, Creation shifted focus from comics conventions to horror and science fiction shows (although they hosted one last Creation Comic Book &amp; Pop Culture Convention in Pasadena, California, on January 31–February 2, 2003).
science	Yves Meynard (born 13 June 1964) is a Canadian science fiction and fantasy writer.
science	The school's name was changed to Crown College in 1994 and it began offering associate of science degrees in criminal justice.
science	In 1992, at an exhibition in Switzerland, he was strongly influenced by the work of Jeffrey Deitch, and wrote about it in the first issue of a self-titled magazine, describing the intriguing notions Deitch's work evoked about humanity's artificial and rapid evolution, modern-day science having far more of an effect on society than history and traditional culture.
science	At Princeton he was a member of Phi Beta Kappa, worked on the undergraduate Red Cross Committee, and earned a bachelor of science degree in mathematics and physics in 1915, with high honors.
science	Previously, Omdahl was a professor of political science at the University of North Dakota and was the Democratic nominee for North Dakota's at-large congressional district in 1976.
science	"There being no degree program in computer science ""per se"" at Harvard at the time,[L2] in 1968 Lewis received his BA (""summa"", Quincy House) in applied mathematics and was elected to Phi Beta Kappa."
science	"Lewis has pointed out that – largely because his career began when the field of computer science ""barely existed"", and Harvard offered almost no computer science courses at the undergraduate level – he originated almost all the courses he has taught."
science	"In 2021 the IEEE Computer Society awarded him its annual Mary Kenneth Keller Computer Science &amp; Engineering Undergraduate Teaching Award, citing ""his over forty-year dedication towards undergraduate computer science education at Harvard, his authoring of Computer Science introductory textbooks, and his mentoring of many future educators."""
science	Six of his teaching assistants are now members of the Harvard faculty and many others are professors of computer science (or related disciplines) elsewhere;
science	the Charles River] long enough, Dean of the College Harry R. Lewis '68 comes along and hands out computer science problem sets so you'll get back to work.
science	"Amateur Science Stories was a short-lived (three issues) science fiction fanzine notable for publishing Arthur C. Clarke's first stories, including ""Travel by Wire!"
science	"""Super-Neutron"" is a science fiction short story by American writer Isaac Asimov, originally published in the September 1941 issue of ""Astonishing Stories"", and included in the 1972 collection ""The Early Asimov""."
science	"He also published the work of James Earle, a prominent surgeon, whose significant book on lithotomy was illustrated by William Blake, and Matthew Baillie's ""Morbid Anatomy"" (1793), ""the first text of pathology devoted to that science exclusively by systematic arrangement and design""."
science	"He acted in the horror film ""The Disappeared"", directed by Johnny Kevorkian, and science fiction-fantasy film ""City of Ember""."
science	The School is a science facility in Death Valley that creates and experiments on human-animal hybrids and mutants.
science	"""Galactrix"", another match-3-based puzzle game in the Puzzle Quest series, this time with a science fiction setting and hexagonal tiles."
